periode,ihpb_nasional,ihpb_industri,ihpb_impor,ihpb_ekspor,kurs_tengah,kurs_jual,kurs_beli,year,bulan,ihpb_nasional_pct_change,ihpb_industri_pct_change,ihpb_impor_pct_change,kurs_tengah_pct_change,kurs_spread,target_ihpb_h1,target_change_pct_h1,target_direction_h1,target_ihpb_h2,target_change_pct_h2,target_direction_h2,target_ihpb_h3,target_change_pct_h3,target_direction_h3
2016-07,138.26,128.89,134.19,130.46,13101.62,13167.13,13036.11,2016,7,-3.544021208315906,-1.2715434699349104,0.5017974835230588,-1.744752431141705,131.01999999999862,142.7,3.2113409518298845,naik,141.71,2.4952987125705315,naik,144.78,4.715752929263714,naik
2016-08,142.7,131.31,128.36,125.29,13145.39,13211.12,13079.66,2016,8,3.2113409518298885,1.877570020948105,-4.344586034726872,0.3340808235927861,131.46000000000095,141.71,-0.6937631394533852,turun,144.78,1.457603363700079,naik,146.07,2.36159775753329,naik
2016-09,141.71,130.85,125.17,122.92,13114.05,13179.62,13048.48,2016,9,-0.693763139453385,-0.3503160459980226,-2.4851978809598108,-0.23841057587489223,131.14000000000124,144.78,2.1663961611742244,naik,146.07,3.076705948768601,naik,148.17,4.558605602992012,naik
2016-10,144.78,131.74,125.01,122.76,13015.24,13080.31,12950.16,2016,10,2.166396161174222,0.6801681314482444,-0.1278261564272576,-0.7534667017435437,130.14999999999964,146.07,0.8910070451719796,naik,148.17,2.3414836303356723,naik,149.79,3.4604227103190985,naik
2016-11,146.07,132.01,127.23,127.54,13317.05,13383.63,13250.46,2016,11,0.8910070451719765,0.20494914224986616,1.7758579313654987,2.3188969239138046,133.17000000000007,148.17,1.4376668720476447,naik,149.79,2.546724173341548,naik,151.11,3.4504004929143703,naik
2016-12,148.17,132.7,127.65,135.17,13414.55,13481.62,13347.47,2016,12,1.4376668720476493,0.5226876751761145,0.3301108229191163,0.7321441310200072,134.15000000000146,149.79,1.093338732536954,naik,151.11,1.9842073294189286,naik,151.64,2.341904569076061,naik
2017-01,149.79,134.28,128.62,135.33,13352.23,13418.99,13285.47,2017,1,1.0933387325369637,1.190655614167313,0.759890325107726,-0.4645701868493557,133.52000000000044,151.11,0.8812337272181198,naik,151.64,1.235062420722341,naik,152.64,1.9026637292209054,naik
2017-02,151.11,135.05,128.23,136.65,13330.6,13397.25,13263.95,2017,2,0.8812337272181114,0.5734286565385771,-0.30321878401493585,-0.16199541200233591,133.29999999999927,151.64,0.35073787307257803,stabil,152.64,1.012507444907665,naik,153.01,1.2573621864866502,naik
2017-03,151.64,135.18,128.13,135.36,13332.39,13399.05,13265.73,2017,3,0.35073787307258186,0.09626064420584779,-0.07798487093503281,0.013427752689287864,133.3199999999997,152.64,0.6594566077552098,naik,153.01,0.9034555526246404,naik,153.51,1.2331838565022453,naik
2017-04,152.64,135.54,128.73,138.45,13290.65,13357.1,13224.2,2017,4,0.6594566077552155,0.26631158455392434,0.4682744088035484,-0.3130721498545985,132.89999999999964,153.01,0.24240041928721476,stabil,153.51,0.5699685534591225,naik,154.81,1.4216457023060902,naik
2017-05,153.01,135.51,129.34,139.62,13317.13,13383.72,13250.54,2017,5,0.24240041928722533,-0.022133687472336572,0.4738600170900442,0.19923781003938767,133.17999999999847,153.51,0.32677602771060715,stabil,154.81,1.1763936997581932,naik,149.16,-2.5161754133716716,turun
2017-06,153.51,135.98,130.11,139.29,13294.77,13361.25,13228.3,2017,6,0.3267760277106069,0.3468378717437881,0.5953301376217857,-0.167904045391154,132.95000000000073,154.81,0.8468503680542059,naik,149.16,-2.833691616181353,turun,155.95,1.5894729985017249,naik
2017-07,154.81,136.93,130.66,141.33,13332.8,13399.46,13266.14,2017,7,0.8468503680542083,0.6986321517870486,0.4227192375682032,0.2860523348655164,133.3199999999997,149.16,-3.6496350364963543,turun,155.95,0.7363865383373078,naik,156.17,0.8784962211743331,naik
2017-08,149.16,133.92,128.1,133.31,13332.17,13398.83,13265.51,2017,8,-3.649635036496357,-2.1982034616227386,-1.9592836369202504,-0.004725189007559472,133.3199999999997,155.95,4.552158755698573,naik,156.17,4.699651381067305,naik,156.83,5.142129257173516,naik
2017-09,155.95,138.29,131.09,141.99,13300.67,13367.17,13234.16,2017,9,4.552158755698565,3.2631421744325095,2.3341139734582406,-0.23627061461112264,133.01000000000022,156.17,0.141070856043603,stabil,156.83,0.5642834241744302,naik,155.42,-0.3398525168323188,stabil
2017-10,156.17,138.6,131.88,141.88,13517.91,13585.5,13450.32,2017,10,0.14107085604360137,0.22416660640682817,0.602639408040262,1.633301179564639,135.1800000000003,156.83,0.4226163795863643,stabil,155.42,-0.4802458858935776,stabil,154.99,-0.7555868604725482,turun
2017-11,156.83,138.35,133.36,145.76,13515.52,13583.1,13447.95,2017,11,0.4226163795863602,-0.18037518037518074,1.122232332423434,-0.01768024790813616,135.14999999999964,155.42,-0.8990626793343269,turun,154.99,-1.1732449148759825,turun,154.84,-1.2688898807626148,turun
2017-12,155.42,137.83,133.41,145.22,13548.0,13615.74,13480.26,2017,12,-0.8990626793343282,-0.3758583303216323,0.037492501499691855,0.24031631783312246,135.47999999999956,154.99,-0.2766696692832187,stabil,154.84,-0.3731823446145825,stabil,154.49,-0.5983785870544194,turun
2018-01,154.99,138.11,133.76,144.04,13384.74,13451.66,13317.82,2018,1,-0.2766696692832138,0.2031488065007636,0.26234914923919384,-1.2050487156775924,133.84000000000015,154.84,-0.09678043744758093,stabil,154.49,-0.32260145815859087,stabil,154.84,-0.09678043744758093,stabil
2018-02,154.84,138.23,133.9,142.91,13579.65,13647.55,13511.75,2018,2,-0.09678043744758558,0.08688726377523714,0.1046650717703379,1.4562105801083858,135.79999999999927,154.49,-0.22603978300180463,stabil,154.84,0.0,stabil,155.83,0.6393696719194065,naik
2018-03,154.49,138.0,133.89,140.85,13749.05,13817.79,13680.3,2018,3,-0.22603978300180794,-0.16638935108151953,-0.007468259895460072,1.2474548313100797,137.4900000000016,154.84,0.22655188038060345,stabil,155.83,0.8673700563143267,naik,156.86,1.5340798757201142,naik
2018-04,154.84,138.17,134.34,142.17,13799.36,13868.36,13730.37,2018,4,0.22655188038060992,0.12318840579710333,0.3360967958772276,0.3659161905731789,137.98999999999978,155.83,0.6393696719194065,naik,156.86,1.3045724618961574,naik,157.85,1.9439421338155456,naik
2018-05,155.83,138.79,136.65,144.29,14071.2,14141.56,14000.85,2018,5,0.6393696719193986,0.44872258811610166,1.71951764180438,1.9699464322983085,140.70999999999913,156.86,0.660976705384073,naik,157.85,1.2962844125007904,naik,159.04,2.0599371109542317,naik
2018-06,156.86,139.21,138.26,146.9,13988.73,14058.68,13918.79,2018,6,0.6609767053840754,0.3026154622091104,1.1781924624954199,-0.5860907385297764,139.88999999999942,157.85,0.6311360448807731,naik,159.04,1.3897743210506046,naik,156.09,-0.4908835904628396,stabil
2018-07,157.85,139.82,139.01,149.49,14407.46,14479.5,14335.42,2018,7,0.6311360448807646,0.43818691185977254,0.542456241863154,2.993338208686569,144.07999999999993,159.04,0.7538802660753866,naik,156.09,-1.1149825783972067,turun,160.94,1.9575546404814719,naik
2018-08,159.04,140.43,140.45,150.83,14551.13,14623.88,14478.37,2018,8,0.7538802660753907,0.43627521098557054,1.0358966980792639,0.9971917326162982,145.5099999999984,156.09,-1.8548792756539165,turun,160.94,1.1946680080482934,naik,161.52,1.5593561368209372,naik
2018-09,156.09,138.65,135.0,144.69,14864.54,14938.86,14790.22,2018,9,-1.85487927565392,-1.267535426903088,-3.8803844784620733,2.1538533433486107,148.64000000000124,160.94,3.1071817541162114,naik,161.52,3.4787622525466118,naik,162.35,4.010506758921129,naik
2018-10,160.94,141.57,142.35,153.92,15215.07,15291.14,15138.99,2018,10,3.107181754116217,2.1060223584565385,5.4444444444444295,2.358162445659251,152.14999999999964,161.52,0.36038275133590936,stabil,162.35,0.8761028954889999,naik,163.03,1.2986206039517854,naik
2018-11,161.52,142.11,143.18,154.46,14706.37,14779.9,14632.84,2018,11,0.36038275133591924,0.381436745073116,0.5830698981384108,-3.343395725422227,147.0599999999995,162.35,0.5138682516096978,naik,163.03,0.9348687469044024,naik,164.16,1.6344725111441223,naik
2018-12,162.35,142.31,143.78,156.64,14525.52,14598.15,14452.89,2018,12,0.513868251609706,0.1407360495390808,0.41905294035480267,-1.2297392218474035,145.26000000000022,163.03,0.41884816753927123,stabil,164.16,1.114875269479521,naik,165.05,1.6630736064059237,naik
2019-01,163.03,142.39,143.98,159.12,14182.65,14253.57,14111.74,2019,1,0.41884816753927634,0.05621530461668023,0.1391014049241912,-2.3604662690216993,141.82999999999993,164.16,0.6931239649144302,naik,165.05,1.2390357602895234,naik,166.01,1.8278844384469053,naik
2019-02,164.16,142.97,145.11,162.77,14027.04,14097.17,13956.9,2019,2,0.6931239649144327,0.40733197556008793,0.7848312265592572,-1.0971856458419138,140.27000000000044,165.05,0.5421539961013735,naik,166.01,1.1269493177387881,naik,166.28,1.2914230019493207,naik
2019-03,165.05,143.23,147.32,164.43,14213.8,14284.87,14142.73,2019,3,0.5421539961013799,0.18185633349652175,1.5229825649507145,1.3314284410681054,142.14000000000124,166.01,0.5816419266888697,naik,166.28,0.745228718570124,naik,167.2,1.302635564980295,naik
2019-04,166.01,143.74,148.64,166.04,14145.93,14216.66,14075.2,2019,4,0.5816419266888806,0.3560706555889359,0.8960086885690943,-0.4774937033024118,141.45999999999913,166.28,0.16264080477080312,stabil,167.2,0.7168242876935111,naik,167.95,1.168604300945725,naik
2019-05,166.28,143.79,149.3,167.11,14387.61,14459.55,14315.68,2019,5,0.16264080477079723,0.03478502852372056,0.4440258342303771,1.7084772793305225,143.86999999999898,167.2,0.5532836179937379,naik,167.95,1.0043300457060305,naik,166.26,-0.01202790473900062,stabil
2019-06,167.2,144.14,150.36,171.36,14248.32,14319.57,14177.08,2019,6,0.5532836179937384,0.24341052924403694,0.7099799062290746,-0.9681246572571856,142.48999999999978,167.95,0.4485645933014354,stabil,166.26,-0.5622009569377977,turun,164.48,-1.6267942583732053,turun
2019-07,167.95,144.66,151.51,172.82,14073.09,14143.46,14002.73,2019,7,0.44856459330142595,0.3607603718607022,0.7648310720936191,-1.2298292009163103,140.72999999999956,166.26,-1.006251860672818,turun,164.48,-2.0660910985412317,turun,164.6,-1.9946412622804375,turun
2019-08,166.26,144.94,153.1,162.86,14256.91,14328.2,14185.63,2019,8,-1.0062518606728132,0.19355730678833893,1.0494356808131489,1.306180803220891,142.57000000000153,164.48,-1.0706122939973544,turun,164.6,-0.9984361842896647,turun,164.47,-1.0766269698063227,turun
2019-09,164.48,145.26,149.59,155.93,14131.8,14202.45,14061.14,2019,9,-1.0706122939973528,0.22078101283289353,-2.2926192031352044,-0.8775393826572553,141.3100000000013,164.6,0.07295719844358253,stabil,164.47,-0.006079766536959451,stabil,164.85,0.2249513618677071,stabil
2019-10,164.6,143.43,147.35,162.29,14135.52,14206.19,14064.84,2019,10,0.07295719844357951,-1.2598099958694653,-1.4974262985493758,0.02632361058039212,141.35000000000036,164.47,-0.07897934386390976,stabil,164.85,0.15188335358444716,stabil,147.67901893170125,-10.280061402368618,turun
2019-11,164.47,145.46,148.45,155.59,14019.37,14089.47,13949.27,2019,11,-0.07897934386390526,1.4153245485602817,0.7465218866643974,-0.8216889085084889,140.1999999999989,164.85,0.23104517541192646,stabil,147.67901893170125,-10.209145174377547,turun,148.643592004027,-9.622671609395635,turun
2019-12,164.85,145.64,149.56,159.05,13989.82,14059.77,13919.87,2019,12,0.23104517541192582,0.12374535954899901,0.7477265072415085,-0.21077979966290794,139.89999999999964,147.67901893170125,-10.416124396905516,turun,148.643592004027,-9.831002727311493,turun,150.94791101104218,-8.433175000884328,turun
2020-02,147.67901893170125,99.16333005,103.59388839,103.29003539,13758.87,13827.66,13690.07,2020,2,-10.416124396905513,-31.912022761603954,-30.73422814255148,-1.6508432560247255,137.59000000000015,148.643592004027,0.6531551193279835,naik,150.94791101104218,2.213511508261529,naik,149.4776267324959,1.2179169483963583,naik
